Sub_Division,YEAR,JUN,JUL,AUG,SEP,JUN-SEP,AVG_RAINFALL,YOY_CHANGE,LAG_1,LAG_2
ARUNACHAL PRADESH,1991,583.2,598.5,564.6,465.7,2212.0,553.0,-58.09999999999991,2270.1,1880.5
ARUNACHAL PRADESH,1992,504.0,543.1,278.1,308.7,1633.9,408.47499999999997,-578.0999999999999,2212.0,2270.1
ARUNACHAL PRADESH,1993,553.0,585.4,665.8,310.4,2114.7,528.65,480.7999999999997,1633.9,2212.0
ARUNACHAL PRADESH,1994,407.5,227.5,266.1,214.0,1114.9,278.775,-999.7999999999997,2114.7,1633.9
ARUNACHAL PRADESH,1995,664.3,672.5,330.3,427.9,2094.9,523.75,980.0,1114.9,2114.7
ARUNACHAL PRADESH,1996,317.5,579.0,359.4,188.1,1444.1,361.0,-650.8000000000002,2094.9,1114.9
ARUNACHAL PRADESH,1997,527.9,394.6,239.0,395.9,1557.4,389.35,113.30000000000018,1444.1,2094.9
ARUNACHAL PRADESH,1998,810.7,795.0,773.7,229.4,2608.9,652.2,1051.5,1557.4,1444.1
ARUNACHAL PRADESH,1999,439.2,406.3,428.0,247.4,1521.0,380.225,-1087.9,2608.9,1557.4
ARUNACHAL PRADESH,2000,517.2,398.7,413.5,425.8,1755.2,438.8,234.20000000000005,1521.0,2608.9
ARUNACHAL PRADESH,2001,293.3,316.1,286.5,295.3,1191.2,297.8,-564.0,1755.2,1521.0
ARUNACHAL PRADESH,2002,409.5,635.2,302.1,291.9,1638.8,409.67500000000007,447.5999999999999,1191.2,1755.2
ARUNACHAL PRADESH,2003,450.0,691.1,347.4,277.2,1765.7,441.425,126.90000000000009,1638.8,1191.2
ARUNACHAL PRADESH,2004,422.4,752.2,274.3,311.2,1760.0,440.025,-5.7000000000000455,1765.7,1638.8
ARUNACHAL PRADESH,2005,300.3,468.5,447.8,249.9,1466.5,366.625,-293.5,1760.0,1765.7
ARUNACHAL PRADESH,2006,495.4,355.7,204.4,264.7,1320.1,330.05,-146.4000000000001,1466.5,1760.0
ARUNACHAL PRADESH,2007,513.1,731.0,348.6,499.4,2092.1,523.025,772.0,1320.1,1466.5
ARUNACHAL PRADESH,2008,503.1,496.5,496.2,222.0,1717.8,429.45,-374.29999999999995,2092.1,1320.1
ARUNACHAL PRADESH,2009,313.4,357.8,394.3,165.1,1230.6,307.65,-487.20000000000005,1717.8,2092.1
ARUNACHAL PRADESH,2010,482.1,385.4,301.7,405.9,1575.1,393.775,344.5,1230.6,1717.8
ARUNACHAL PRADESH,2011,269.6,563.9,266.5,274.2,1374.3,343.55,-200.79999999999995,1575.1,1230.6
